1,0.3536
2,0.4097
3,0.2737
4,0.1152
5,0.0362
6,0.1039
7,0.1613
8,0.0023
9,0.1823
10,0.063
11,0.4481
12,0.1742
13,0.0138
14,0.0415
15,0.3244
16,0.2362
17,0.0932
18,0.2314
19,0
20,0
21,0.415
22,0.4395
23,0.003
24,0.0799
25,0.2206
26,0.1812
27,0.1733
28,0.2393
29,0.0763
30,0.3241
31,0.4156
32,0.0635
33,0.4782
34,0.0258
35,0.363
36,0.0858
37,0.0441
38,0.0684
39,0.1061
40,0.2024
41,0.1169
42,0
43,0.2782
44,0.0398
45,0.268
46,0.6824
47,0.3749
48,0.2
49,0.1997
50,0.0758
51,0.4581
52,0.2411
53,0.1888
54,0.1514
55,0.1084
56,0.0225
57,0.5239
58,0.0763
59,0.053
60,0.2404
61,0.0893
62,0.5997
63,0.1586
64,0.1893
65,0.2243
66,0.0044
67,0.3762
68,0.074
69,0.1663
70,0
71,0.0151
72,0.0004
73,0.4777
74,0.0317
75,0.362
76,0.4545
77,0.083
78,0.0046
79,0.1815
80,0.2728
81,0.0369
82,0.0683
83,0
84,0.65
85,0.1557
86,0.5442
87,0.1726
88,0.224
89,0.3316
90,0.1678
91,0.0931
92,0.0005
93,0.1616
94,0.0236
96,0.1152
97,0.0212
98,0.0844
99,0.0155
101,0.255
102,0.0556
103,0.2922
104,0.0614
105,0.2466
106,0.1595
107,0.0344
108,0.561
109,0.0046
110,0.0835
111,0.745
112,0
113,0.037
114,0.1303
115,0.25
116,0.2882
117,0.2054
118,0.1938
119,0.2116
120,0.0307
121,0.3444
122,0.0374
123,0.4947
124,0.1503
125,0.2394
126,0.0009
127,0.3283
128,0.119
129,0.0336
130,0.4292
131,0.0195
132,0.0608
133,0.0925
134,0.0114
135,0.024
136,0.0001
137,0.2882
138,0.1948
139,0.1116
140,0.0065
141,0.2204
142,0.1116
143,0
144,0.2437
145,0.24
146,0.3319
147,0.4744
148,0.5369
149,0.1892
150,0.05
151,0.18
152,0
153,0.4702
154,0.0671
155,0.1857
156,0.1288
157,0.0489
158,0.6509
159,0.4415
160,0.0107
161,0.0362
162,0.0417
163,0.0267
164,0.0277
165,0.0148
166,0.01
167,0.0117
168,0.761
169,0.0722
170,0.0072
171,0.2541
172,0.2619
173,0.455
174,0.0971
175,0.1194
176,0.001
177,0.081
178,0.1033
179,0.0282
180,0.0257
181,0.0313
182,0.1811
183,0.0033
184,0.1307
185,0.0248
186,0.1054
187,0.0913
188,0.0086
189,0.062
190,0.2449
191,0.1403
192,0.0664
193,0.3105
194,0.7194
195,0.0115
196,0.2947
197,0.3715
198,0.2569
199,0.0294
200,0.2414
